tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20,gamma.orig.80,gamma.orig.50,gamma.orig.20,gamma.orig.s20
1,4.847323819,6.275841638,0.444699324,3.328249233,6.128249233,93.34723836,5.028249233,4.328249233,2.5,67,157,141,131,5.86457794837602,5.60508670363678,5.36013745099674,4.21119458821913,2.78012173152513,2.60228307853648,83.1625055833781,4.42457505221452,4.06689713025897,108.151879481764,5.21969768280432,4.8673424440618,1457.72567082374,4.33451492104828,3.18383345447844,42.5294884278349,5.89975014723,4.79975014696,4.09975014738,2.2715009143,0.407811182189355,0.392158115661763,0.406100417099407,0.226627002145924,2.79999999764268,1.69999999764268,0.99999999764268,5.69477324062535,8.45644217569741,8.29280518500141,4.45827790355626
2,5.059369135,5.399104427,0.974069672,2.839449469,8.639449469,13.73508516,5.939449,4.339449,1.8,41,64,56,68,5.39790892920749,5.38251855526523,5.32029262889071,4.46399555575305,6.8769056512018,6.94008325441996,866.805647579824,4.53534818108381,4.43385713926586,22.255913826887,4.28239301651275,4.05674681037932,131.147438986963,4.37490031044862,2.92364746269283,1724.54610145387,8.4208548523,5.7208548522,4.12085485276,1.581405383521,0.634063944488872,0.524043515352029,0.428341703286265,0.178375436693232,5.80000000248678,3.09999953348678,1.49999953348678,6.85845019133274,7.14700067949816,5.45189981505686,2.50996487829397
3,4.981873708,6.590710981,0.505834503,2.787768521,5.287768521,42.70507003,4.387768521,3.687768521,2,18,24,60,41,6.13644597212214,5.87453078875969,5.57024366679713,4.1942519968956,3.09996104852186,3.15537019532713,11.4103700227087,2.80676004957505,2.66894838016914,56.6550433205649,3.58688620993537,3.08302516569027,541.500326732934,3.42753397956707,1.86808630187934,2367.90426422559,4.6806173235,3.7806173228,3.25222246224,1.564453942,0.565012836267514,0.40508398316944,0.308412483550717,0.125751538019122,2.50000000227658,1.60000000227658,0.900000002276582,3.91452375737572,3.29091783637144,4.06824006687491,1.36021085488921
4,8.604659874,9.141384054,0.985117262,2.877913989,6.977913989,265.2231432,5.177913989,4.077913989,2,119,293,608,634,9.13192943355592,9.08569884135799,8.97681280226114,7.86685431524048,6.3825222959114,6.29919115230987,53.9597361455086,9.45382545694939,9.29076863114846,1385.23583222449,7.47783709408431,7.01634011422999,1501.54862454019,7.67345492529979,5.62865497948737,2286.79888942125,6.9387231323,5.138723133,4.0387231326,1.9608091437,0.576515395271666,0.557640901146609,0.42622468484505,0.214124102548698,4.09999999916124,2.29999999916124,1.19999999916124,10.8010124685522,16.4763778195752,18.1733728906815,9.3236233798976
5,5.866272044,7.716492286,0.716325499,1.99358422,4.09358422,18.01827688,3.29358422,2.79358422,1.4,11,26,37,65,7.30541698428151,6.98737339042729,6.673343014433,4.88584843467137,2.30299063743156,3.21349821170711,1.64303515590191,4.55401773857986,4.44339085870838,19.8166913360914,4.36015266307013,3.88106971710765,238.432103529356,5.02837226873638,230.64098961891,0.0205313716493063,2.00924405442,2.765434021,2.2654340212,0.87184980075,0.318766228693383,0.459273014197631,0.330399110612593,0.0553518416904305,2.09999999894169,1.29999999894169,0.799999998941685,1.65635791150218,3.89706075306156,3.38558341956408,0.76096201320483
6,6.646847399,7.842343473,0.846993875,2.220767511,4.620767511,35.98915313,3.720767511,3.020767511,1.6,33,65,149,217,7.68576908786506,7.50677511377501,7.23522654724157,5.81981691311523,6.69310575056144,6.68930679230817,678.139813768125,3.67178078123727,3.34467081181068,114.129909617296,5.70981762354136,5.15773385478204,1692.0568748476,4.71196459079072,1.73847871242193,25.9377980568085,4.151208148,3.25120814903,2.789803848,1.3690363376,0.547747477684644,0.343982342661418,0.356384136630206,0.080444762204551,2.4000000017425,1.5000000017425,0.800000001742497,5.28228538000549,4.72897536892256,7.48406686923433,2.04304357495494
7,2.790802156,3.853999563,0.196980113,6.537871513,11.13787151,272.4493491,9.437871513,8.137871513,5.1,542,1414,2238,2288,3.42436819943487,3.25348088898796,3.07822040817927,2.44269728393826,2.05371261078541,1.96065254044316,570.783651178914,2.57234464232203,2.404343636917,637.213483450266,2.38374448572567,2.09132138473272,434.963511717105,2.67801773124179,1.88610558656317,849.593657064212,11.12437547882,9.42437548149,8.12437548198,5.08650396842,0.434148865463201,0.409223794301642,0.331128102868924,0.200237753290927,4.60000000896495,2.90000001196495,1.60000001196495,17.4741547595423,26.6341507496048,27.1201800137502,16.5822975635851
8,4.677838751,5.649314965,0.396897171,4.43558915,8.03558915,353.3696323,6.73558915,5.63558915,3.4,113,338,548,739,5.4165598317477,5.25939040169011,5.04593918838166,4.1839799268946,4.29178841867047,4.22722434062962,148.10625219843,3.76418332268641,3.57476044994195,446.008382006543,3.80416822804336,3.48806053151537,1040.17550672859,3.97361411876025,2.91514966325352,1353.05139406904,7.9463282351,6.6463282351,5.54632823582,3.31073908662,0.539064037121068,0.441256739195213,0.377356878135098,0.2134871172809,3.59999999603459,2.29999999603459,1.1999999960346,9.83699557929396,14.0094671549018,15.2724678318034,10.0384357636284
9,7.823547047,9.688514415,0.825103747,1.996958022,3.896958022,63.31963566,3.196958022,2.696958022,1.4,37,113,181,181,9.29962239710212,8.99562227909411,8.6417845044176,6.63651824897615,6.16396638687167,6.09518585916063,1685.54606427811,6.99512463597411,6.6601027575594,341.926001509253,6.64087674418079,6.06344456789942,269.151203155576,4.85906236497267,241.17058926899,-0.0132258750297082,3.83257908135,3.13257908171,2.63257908169,1.3356210599,0.524028779309713,0.447607359673873,0.3710368956174,0.166207094484612,1.89999999932356,1.19999999932356,0.699999999323557,5.36969710153254,8.16806782712986,8.59813461963386,3.85156028954733
10,6.913445791,8.130751292,0.593124684,3.201710484,5.901710484,468.2845525,4.901710484,4.101710484,2.4,73,266,424,375,7.88533438091471,7.68663647483045,7.4169655233353,6.17229983594166,5.19181449220778,5.10470352630693,69.3854628959647,7.0359354424273,6.76769253641763,1195.61874977988,5.67206442821448,5.13837670153167,112.869659008069,7.47434737762495,6.12186428267519,552.501076380571,5.3405199612,4.74225741278,3.94225741222,2.240546928,0.525897927030262,0.482919267811651,0.375213134978663,0.274716349782004,2.70000000066157,1.70000000066157,0.900000000661574,7.67522756121646,13.5905528667969,13.350418689023,9.18966226284822
11,4.157947495,4.453263716,0.635614219,4.268856371,11.36885637,39.31164663,8.168856371,6.268856371,2.9,39,60,102,155,4.45002497147274,4.42850565177322,4.37043139964496,3.74832470449573,4.91702457177571,4.95919629623604,219.49599170184,4.1297461252551,4.05932150421515,27.1688709933756,2.85222602535218,2.66154808375658,96.7279903498052,4.03978616966269,3.22928079354919,119.716707903408,10.91312811611,7.71312811556,6.086081698,2.7172253269,0.660383164650526,0.511962895122085,0.40853665583326,0.263946997794045,7.09999999967817,3.90000000067817,2.00000000067817,6.95756836697108,6.75325440368057,7.07606244657486,5.65487578102478
12,4.632148231,6.131443235,0.44382504,3.173401755,5.873401755,58.53212081,4.873401755,4.173401755,2.4,27,95,183,200,5.67910840932012,5.4264080492868,5.16952905339084,4.01814459287774,3.29679496539322,3.25038333493311,1085.08281113899,4.07508439697586,3.88263229540166,1311.9851509946,4.08683713049183,3.64756403913193,120.865116538126,2.67499405275201,94.0938298667792,-0.00978597834912984,5.75940495347,4.7594049532,4.05940495391,2.28600319879,0.521549760885817,0.406347164555313,0.350644628008444,0.170510105604477,2.70000000201359,1.70000000201359,1.00000000201359,4.51675342264817,6.78733578524429,8.17084749258551,4.15569193892792
