tree.number,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,lambda.init.fit.80,lambda.final.fit.80,bamm.lambda.final.sim80,alpha.fit.80,mu.fit.80,bamm.mu.80,netdiv.sim.80,netdiv.fit.80,bamm.netdiv.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,lambda.init.fit.50,lambda.final.fit.50,bamm.lambda.final.50,alpha.fit.50,mu.fit.50,bamm.fit.50,netdiv.sim.50,netdiv.fit.50,bamm.netdiv.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,lambda.init.fit.20,lambda.final.fit.20,bamm.lamda.final.20,alpha.fit.20,mu.fit.20,bamm.mu.20,netdiv.sim.20,netdiv.fit.20,bamm.netdiv.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,lambda.init.fit.s20,lambda.final.fit.s20,bamm.lambda.final.s20,alpha.fit.s20,mu.fit.s20,bamm.mu.s20,netdiv.sim.s20,netdiv.fit.s20,bamm.netdiv.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20,gamma.orig.80,gamma.orig.50,gamma.orig.20,gamma.orig.s20
1,5.5624,0.1739414279,0.4290488,0.8881175,5.7229858058819,0.168020777601175,0.155849693,0.437959457459687,0.871304096229772,0.8113071513,-0.7141760721,-0.7030063083,-0.6554574583,672,5.5624,0.3310574156,0.4290488,0.8881175,5.70207551564981,0.340019722810609,0.301076301,0.430083009243189,0.89709800137427,0.747017474,-0.5570600844,-0.5570094199,-0.445941173,1767,5.5624,0.5084366478,0.4290488,0.8881175,5.70642646770018,0.481291892572395,0.4146697086,0.445089656946904,0.833942833753787,0.5592649296,-0.3796808522,-0.3519281653,-0.1445952211,2748,5.5624,1.409272353,0.4290488,0.8881175,5.59118032066423,0.695452520710516,0.5906776686,0.429247361444967,0.868592736242077,0.440097177,0.5211548535,-0.1866276306,0.1505804915,3378,8.076159,6.576159,5.576159,3.2,3.8,2.3,1.3,-0.426923974,-0.2431978062,-0.1772188927,-0.1186573986,8.05590160041,6.5559016011,5.5559016016,4.8559016014,-19.1402925781687,-17.6967141240359,-16.0849943401997,-5.00609320454
2,8.972588,0.3252070787,0.9870333,1.922001,1.63001139520743,0.0768884311867229,0.4182032618,1.00244887537031,1.69728403321364e-06,0.319,-1.596793921,0.1855720495,0.09941593673,9,8.972588,0.6489693277,0.9870333,1.922001,5.46023027692867,0.915977196606902,0.908141032,0.760807486376718,1.85600145612404,0.40957733,-1.273031672,0.06174648921,0.498563702,21,8.972588,1.063054987,0.9870333,1.922001,6.55139471216691,1.40908031783409,1.277325334,0.832233328263639,2.43401714604763,0.4559250152,-0.8589460134,0.5793074366,0.8214003184,24,8.972588,3.029620977,0.9870333,1.922001,5.79687207995642,1.69732261884266,1.393388541,0.63100426554899,2.49982558511514,0.5377260676,1.107619977,-1.98280319,0.8556624731,25,3.361049,2.661049,2.161049,1.1,1.8,1.1,0.6,-0.4999045266,-0.1052905784,-0.05097105396,0.01595393849,3.046526296,2.3465262964,1.84652629644,1.94652629644,-2.29085033345735,-0.794926434350985,-0.414090799878068,-1.6143109885969
3,9.563056,0.1946466772,0.9758744,1.510993,9.26298321475076,0.191906300111878,0.1967165841,0.973110372968342,1.51542494172604,1.045330905,-1.316346323,-1.323363862,-0.8486143213,82,9.563056,0.4249134594,0.9758744,1.510993,10.4631867835868,0.452002896900412,0.3027683191,0.986818046572291,1.77272189010831,0.6760201425,-1.086079541,-1.318265741,-0.3732518234,206,9.563056,0.7631160855,0.9758744,1.510993,11.1297205484013,0.8026750236823,0.5133987332,1.01761857114416,1.92240771465031,0.2250946867,-0.7478769145,-1.118726205,0.2883040465,375,9.563056,2.689272259,0.9758744,1.510993,11.0197480454154,0.757340549083203,0.4839147717,0.997664374620362,1.95547847720337,0.3235134632,1.178279259,-1.291195893,0.1604013086,344,3.990756,3.190756,2.590756,1.3,2.1,1.3,0.7,-0.5144288963,-0.3497775015,-0.2351637483,-0.2436732025,3.98389978384,3.18389978484,2.58389978454,2.68389978454,-7.96949819268669,-8.65301750536103,-7.86657010202562,-1.7250950995747
4,7.426252,0.01838919733,0.8614918,0.5769359,7.26791963009885,0.0124778115535445,0.02134493251,0.925798216462014,0.576925361478087,0.5894592532,-0.5585467027,-0.5622843946,-0.5681143207,160,7.426252,0.07954313478,0.8614918,0.5769359,6.65286767109448,0.0687564951718161,0.05883593,0.883078773970325,0.554493027829156,0.380794616,-0.4973927652,-0.4833570056,-0.321958686,415,7.426252,0.2051908313,0.8614918,0.5769359,6.23304436830009,0.17951930131439,0.142887677,0.869956364621609,0.477484565143128,0.09812285122,-0.3717450687,-0.2940103631,0.04476482581,676,7.426252,1.216391282,0.8614918,0.5769359,6.42974617628256,0.107332517895448,0.08575944722,0.856655094967541,0.552772116677916,0.3003497636,0.6394553823,-0.468962911,-0.2145903164,512,6.965839,5.265839,4.165839,2.1,4,2.3,1.2,-0.7650558944,-0.5620078877,-0.4127029155,-0.4937599065,6.877603852447,5.177603852447,4.077603853447,4.777603852447,-16.6564458164915,-19.7823583212127,-18.5578693342147,-6.07575734201574
5,4.821523,0.9963217446,0.1645601,1.831596,4.84188309684784,1.11760481931142,0.7837706696,0.164688392938072,2.23837037372523,1.524953206,-0.8352742554,-1.031651074,-0.741182536,31,4.821523,1.233977995,0.1645601,1.831596,2.90172107090276,0.603600515382579,0.508137954,0.206534035499324,1.01142546682239,0.64823106,-0.5976180049,-0.3344425704,-0.140093106,73,4.821523,1.454705091,0.1645601,1.831596,2.40466880468205,0.968931839674179,0.8543197559,0.137673917416769,0.979190979056057,0.6026774367,-0.3768909095,0.06127086608,0.2516423192,157,4.821523,2.224778552,0.1645601,1.831596,2.24880986456426,1.9048559972588,1.541661811,0.0395003261664476,1.12274264637953,0.5710112165,0.3931825515,0.942499853,0.9706505949,203,9.581757,8.281757,7.281757,4.7,3.7,2.4,1.4,0.09067726279,-0.001931280079,0.0795625915,0.1157345422,8.9023631074,7.6023631075,6.6023631087,4.2023631086,0.845781201547359,-0.0281861048102536,1.71567647724833,3.7171888729464
6,8.162276,0.1276087454,0.9209441,1.163555,6.37502090320466,0.192425504339842,0.2383250624,0.848253666356571,1.18796364037745,0.2968648003,-1.035946255,-0.08421447876,-0.05853973784,21,8.162276,0.320509849,0.9209441,1.163555,6.03873541100342,0.285468479814176,0.3947588471,0.976071061793641,0.943055038272469,0.2269211157,-0.843045151,-0.1459119107,0.1678377314,37,8.162276,0.556952226,0.9209441,1.163555,6.16542410044313,0.54002316752053,0.6604005521,0.963771906519977,1.01325393463394,0.2058979233,-0.606602774,0.1743468508,0.4545026288,54,8.162276,2.050547646,0.9209441,1.163555,6.42905324210674,0.530210564751675,0.6180799477,0.950001815400031,1.11349993835931,0.1898485292,0.8869926456,-1.081922169,0.4282314185,54,4.515268,3.515268,2.915268,1.5,2.4,1.4,0.8,-0.444018445,-0.3613780448,-0.2581450177,-0.2617487547,4.12663534436,3.12663534437,2.52663534488,2.62663534488,-3.35226574604914,-3.70302303289942,-3.22423023768573,-0.0786811034096877
7,6.744666,0.198315874,0.7393723,1.259275,7.57805248024658,0.21740695056971,0.2077681104,0.764457939468469,1.64732937392527,0.6126138035,-1.060959126,-1.379862125,-0.4048456931,20,6.744666,0.3857911468,0.7393723,1.259275,8.01929416727378,0.315464557623642,0.23982086,0.841674899998806,1.40566587548843,0.378310189,-0.8734838532,-1.082208865,-0.138489329,61,6.744666,0.6473303572,0.7393723,1.259275,7.26219450049723,0.413767694298486,0.3554721684,0.911246278006681,1.06017256516229,0.1756931016,-0.6119446428,-0.6364376599,0.1797790668,113,6.744666,2.066293227,0.7393723,1.259275,7.26219450049723,0.413767694298486,0.3528559489,0.911246278006681,1.06017256516229,0.1717719722,0.8070182266,-0.8529675733,0.1810839767,113,4.769784,3.869784,3.169784,1.6,2.5,1.6,0.9,-0.5251697195,-0.3911877506,-0.310323541,-0.310323541,4.64543618168,3.84419132544,3.14419132636,3.14419132636,-3.859193523541,-5.20441452539353,-5.66287322222948,-1.37004300250709
8,6.043918,0.7888459518,0.3113557,1.88629,5.17576634110923,1.27273111059393,0.9599754637,0.216996187913571,2.42609408897571,1.72827154,-1.097444048,-1.145013146,-0.7682960763,57,6.043918,1.07699147,0.3113557,1.88629,4.56322504619163,1.04534295982099,0.870848185,0.269671856233645,1.73911412739179,1.206439171,-0.8092985301,-0.6867854478,-0.335590986,154,6.043918,1.381619053,0.3113557,1.88629,4.68842892130561,1.46972632201672,1.214979463,0.248679060628164,1.93781981758498,1.188816321,-0.5046709475,-0.4600898995,0.02616314162,241,6.043918,2.450080662,0.3113557,1.88629,4.59814818527309,1.99827191925826,1.695186971,0.233782156762709,1.94864849112526,0.9227009759,0.5637906617,-0.03646651271,0.7724859954,320,6.539905,5.539905,4.739905,2.9,2.8,1.8,1,0.09244571023,0.04128358488,0.09196082376,0.09517105287,6.464732651,5.46473265067,4.6647326504,3.56473265057,1.18748664882185,0.881576132653857,2.46242170588564,2.5735319943372
9,2.323215,0.05896489767,0.2578486,0.3974315,2.35976381692459,0.047190806283396,0.04743673241,0.274628544658097,0.358340217066558,0.3269115679,-0.3384666023,-0.3111990335,-0.2794748355,101,2.323215,0.1245495673,0.2578486,0.3974315,2.29134443364153,0.120467250427237,0.1151494646,0.259628413733001,0.37718835910536,0.3299432815,-0.2728819327,-0.2567211087,-0.214793817,246,2.323215,0.2140449046,0.2578486,0.3974315,2.40815494313947,0.211583839667889,0.1953226824,0.263057077499079,0.407412034611566,0.3228511925,-0.1833865954,-0.1956239207,-0.1275285101,378,2.323215,0.6567143478,0.2578486,0.3974315,2.36863421527313,0.193342041256392,0.1792041997,0.268119276068568,0.378705503659588,0.2972053206,0.2592828478,-0.2100136372,-0.1180011209,372,14.24776,11.347758,9.247758,4.9,7.400002,4.5,2.4,-0.514422529,-0.3182392482,-0.2202604092,-0.2366026067,14.245124187,11.3451221904,9.2451221904,9.3451241904,-8.86539733472149,-8.61012150685837,-7.39760250103801,-1.79244599886034
10,8.209677,0.05514120863,0.7763133,0.7722917,7.0286454229898,0.0379529203462582,0.0596202275,0.844715999866484,0.725164147987659,0.6960320463,-0.7171504914,-0.7234800011,-0.6364118188,210,8.209677,0.1634874035,0.7763133,0.7722917,6.55387649580199,0.115154081251586,0.092013116,0.845289173406948,0.581525002494037,0.324169071,-0.6088042965,-0.4569179878,-0.232155955,552,8.209677,0.3287895612,0.7763133,0.7722917,6.59868967440242,0.268014975058953,0.2043903752,0.825399422880617,0.609385815891137,0.1246959514,-0.4435021388,-0.3291423883,0.07969442374,898,8.209677,1.487987179,0.7763133,0.7722917,6.72011613189523,0.242543726296155,0.1842110764,0.834330091486155,0.624476637538616,0.1555685571,0.7156954795,-0.4075156173,0.02864251939,845,6.444784,5.044784,4.144784,2.2,3.4,2,1.1,-0.6286831308,-0.4868250515,-0.3531858799,-0.3710744508,6.181252431,4.7812524324,3.8812524328,3.9812524324,-15.7044995729405,-19.7749270753771,-18.3112488482648,-5.92816989758946
