tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20
1,4.847323819,6.275841638,0.444699324,3.328249233,6.128249233,93.34723836,5.028249233,4.328249233,2.5,67,157,141,131,5.86457794837602,5.60508670363678,5.36013745099674,4.21119458821913,2.78012173152513,2.60228307853648,83.1625055833781,4.42457505221452,4.06689713025897,108.151879481764,5.21969768280432,4.8673424440618,1457.72567082374,4.33451492104828,3.18383345447844,42.5294884278349
2,5.059369135,5.399104427,0.974069672,2.839449469,8.639449469,13.73508516,5.939449,4.339449,1.8,41,64,56,68,5.39790892920749,5.38251855526523,5.32029262889071,4.46399555575305,6.8769056512018,6.94008325441996,866.805647579824,4.53534818108381,4.43385713926586,22.255913826887,4.28239301651275,4.05674681037932,131.147438986963,4.37490031044862,2.92364746269283,1724.54610145387
3,4.981873708,6.590710981,0.505834503,2.787768521,5.287768521,42.70507003,4.387768521,3.687768521,2,18,24,60,41,6.13644597212214,5.87453078875969,5.57024366679713,4.1942519968956,3.09996104852186,3.15537019532713,11.4103700227087,2.80676004957505,2.66894838016914,56.6550433205649,3.58688620993537,3.08302516569027,541.500326732934,3.42753397956707,1.86808630187934,2367.90426422559
4,8.604659874,9.141384054,0.985117262,2.877913989,6.977913989,265.2231432,5.177913989,4.077913989,2,119,293,608,634,9.13192943355592,9.08569884135799,8.97681280226114,7.86685431524048,6.3825222959114,6.29919115230987,53.9597361455086,9.45382545694939,9.29076863114846,1385.23583222449,7.47783709408431,7.01634011422999,1501.54862454019,7.67345492529979,5.62865497948737,2286.79888942125
5,5.866272044,7.716492286,0.716325499,1.99358422,4.09358422,18.01827688,3.29358422,2.79358422,1.4,11,26,37,65,7.30541698428151,6.98737339042729,6.673343014433,4.88584843467137,2.30299063743156,3.21349821170711,1.64303515590191,4.55401773857986,4.44339085870838,19.8166913360914,4.36015266307013,3.88106971710765,238.432103529356,5.02837226873638,230.64098961891,0.0205313716493063
6,6.646847399,7.842343473,0.846993875,2.220767511,4.620767511,35.98915313,3.720767511,3.020767511,1.6,33,65,149,217,7.68576908786506,7.50677511377501,7.23522654724157,5.81981691311523,6.69310575056144,6.68930679230817,678.139813768125,3.67178078123727,3.34467081181068,114.129909617296,5.70981762354136,5.15773385478204,1692.0568748476,4.71196459079072,1.73847871242193,25.9377980568085
7,2.790802156,3.853999563,0.196980113,6.537871513,11.13787151,272.4493491,9.437871513,8.137871513,5.1,542,1414,2238,2288,3.42436819943487,3.25348088898796,3.07822040817927,2.44269728393826,2.05371261078541,1.96065254044316,570.783651178914,2.57234464232203,2.404343636917,637.213483450266,2.38374448572567,2.09132138473272,434.963511717105,2.67801773124179,1.88610558656317,849.593657064212
8,4.677838751,5.649314965,0.396897171,4.43558915,8.03558915,353.3696323,6.73558915,5.63558915,3.4,113,338,548,739,5.4165598317477,5.25939040169011,5.04593918838166,4.1839799268946,4.29178841867047,4.22722434062962,148.10625219843,3.76418332268641,3.57476044994195,446.008382006543,3.80416822804336,3.48806053151537,1040.17550672859,3.97361411876025,2.91514966325352,1353.05139406904
9,7.823547047,9.688514415,0.825103747,1.996958022,3.896958022,63.31963566,3.196958022,2.696958022,1.4,37,113,181,181,9.29962239710212,8.99562227909411,8.6417845044176,6.63651824897615,6.16396638687167,6.09518585916063,1685.54606427811,6.99512463597411,6.6601027575594,341.926001509253,6.64087674418079,6.06344456789942,269.151203155576,4.85906236497267,241.17058926899,-0.0132258750297082
10,6.913445791,8.130751292,0.593124684,3.201710484,5.901710484,468.2845525,4.901710484,4.101710484,2.4,73,266,424,375,7.88533438091471,7.68663647483045,7.4169655233353,6.17229983594166,5.19181449220778,5.10470352630693,69.3854628959647,7.0359354424273,6.76769253641763,1195.61874977988,5.67206442821448,5.13837670153167,112.869659008069,7.47434737762495,6.12186428267519,552.501076380571
11,4.157947495,4.453263716,0.635614219,4.268856371,11.36885637,39.31164663,8.168856371,6.268856371,2.9,39,60,102,155,4.45002497147274,4.42850565177322,4.37043139964496,3.74832470449573,4.91702457177571,4.95919629623604,219.49599170184,4.1297461252551,4.05932150421515,27.1688709933756,2.85222602535218,2.66154808375658,96.7279903498052,4.03978616966269,3.22928079354919,119.716707903408
12,4.632148231,6.131443235,0.44382504,3.173401755,5.873401755,58.53212081,4.873401755,4.173401755,2.4,27,95,183,200,5.67910840932012,5.4264080492868,5.16952905339084,4.01814459287774,3.29679496539322,3.25038333493311,1085.08281113899,4.07508439697586,3.88263229540166,1311.9851509946,4.08683713049183,3.64756403913193,120.865116538126,2.67499405275201,94.0938298667792,-0.00978597834912984
13,4.833718375,6.276415933,0.414365959,3.548275165,6.448275165,139.3251969,5.348275165,4.548275165,2.7,30,125,293,353,5.84260506001163,5.59210580560034,5.32314039894161,4.22606489414469,1.88293980253359,1.78897725366822,912.957834345655,3.62725703107296,3.43170690269568,1180.631052764,4.07346982804782,3.63605872132753,63.2756452683093,4.43789462771039,2.9080345738837,1517.51217016287
14,4.883882136,6.099603793,0.393591344,4.097869491,7.397869491,336.0310012,6.197869491,5.297869491,3.1,380,731,1190,1144,5.76790022573558,5.56765282845512,5.34152788524503,4.29905653538411,3.77028027883048,3.62950367738139,900.836778991843,4.63692201744456,4.42824783406936,1049.17964987554,3.89356056493139,3.48583066554116,1070.52691110488,4.12521731463322,2.84391563881181,648.780036865456
15,4.855912054,5.321653909,0.547647307,4.447950107,9.747950107,178.7209502,7.447950107,6.047950107,3.2,557,1735,2757,2439,5.29609206440133,5.23157468044083,5.12774358006867,4.39917174918727,4.27494378802469,4.18895198706038,424.28695901994,4.46522328404121,4.27613213106145,886.171441020982,4.24810123989515,3.90537563671505,131.02989625,4.62409451312319,3.50276313946752,1537.40523815588
